DATE,FFR,BOK,TB3Y,TB10Y,CD,USD,A_SP,A_CP,A_AUM,A_VOL,A_NAV,B_SP,B_CP,B_AUM,B_VOL,B_NAV,C_SP,C_CP,C_AUM,C_VOL,C_NAV,D_SP,D_CP,D_AUM,D_VOL,D_NAV,E_SP,E_CP,E_AUM,E_VOL,E_NAV,F_SP,F_CP,F_AUM,F_VOL,F_NAV,G_SP,G_CP,G_AUM,G_VOL,G_NAV
2021-02-10,0.250,0.500,0.992,1.830,0.730,"1,116.00","102,700","102,700","1,793,964","23,833",102702.07,"58,160","58,165","87,248","148,069",58156.8,"99,390","99,420","102,601",36,99431.75,"123,000","121,935","243,870","77,266",121935.97,"47,075","47,100","3,862",45,47102.81,"42,525","42,680","5,381,948","6,526,416",42653.6,"3,925","3,905","1,162,128","62,266,183",3901.51
2021-02-09,0.250,0.500,0.990,1.820,0.730,"1,119.10","102,700","102,705","1,794,359","18,812",102696.94,"58,145","58,160","87,240","72,293",58164.13,"99,410","99,410","102,591",9,99418.35,"122,060","122,135","244,270","70,806",122010.42,"47,065","47,060","3,859",6,47072.2,"42,835","42,385","5,416,803","8,236,149",42471.93,"3,895","3,940","1,229,280","57,137,272",3940.47
2021-02-08,0.250,0.500,0.995,1.827,0.730,"1,124.00","102,695","102,700","1,743,333","39,633",102696.43,"58,155","58,145","90,706","2,960",58152.7,"99,400","99,465","102,648",6,99435.15,"122,260","121,965","243,930","57,760",121926.06,"47,000","47,120","3,864",6,47115.65,"42,905","42,530","5,901,038","7,391,704",42577.6,"3,890","3,920","1,200,696","71,077,296",3927.42
2021-02-05,0.250,0.500,0.982,1.782,0.730,"1,116.70","102,695","102,695","1,743,350","15,630",102694.51,"58,170","58,155","90,722","2,903",58176.2,"99,420","99,410","102,591",6,99381.04,"122,325","122,260","244,520","4,168",122381.83,"46,945","47,005","3,854",33,46936.21,"42,660","42,950","6,053,803","13,252,969",43014.15,"3,905","3,885","1,186,479","110,787,559",3890.61
2021-02-04,0.250,0.500,0.980,1.790,0.730,"1,114.00","102,690","102,690","1,743,471","12,851",102689.7,"58,145","58,170","94,235","5,685",58162.51,"99,420","99,425","102,607",6,99397.12,"122,495","122,300","244,600","4,800",122283.27,"46,940","46,995","3,854",26,46961.29,"43,030","42,410","6,100,679","18,129,738",42520.55,"3,880","3,935","1,202,536","103,546,168",3942.22
2021-02-03,0.250,0.500,0.977,1.767,0.730,"1,116.60","102,690","102,690","1,743,676","15,291",102687.22,"58,140","58,140","94,187","14,537",58161.7,"99,460","99,425","102,607",13,99423.09,"122,415","122,485","244,970","6,511",122461.44,"46,945","46,895","3,845",6,46876.93,"43,125","43,130","6,262,476","10,276,903",43213.56,"3,870","3,865","1,225,205","105,227,571",3867.67
2021-02-02,0.250,0.500,0.980,1.765,0.730,"1,118.00","102,680","102,680","1,743,404","9,865",102682.66,"58,110","58,125","94,163","139,805",58147.86,"99,460","99,445","102,627",6,99440.16,"122,065","122,535","245,070","15,074",122462.78,"46,985","46,870","3,843",6,46876.65,"42,600","42,775","6,493,245","12,520,132",42793.95,"3,925","3,900","1,216,020","164,573,200",3897.32
2021-02-01,0.250,0.500,0.987,1.792,0.700,"1,117.20","102,675","102,675","1,783,875","25,113",102677.46,"58,125","58,100","94,122","7,137",58126.03,"99,405","99,475","102,658",157,99466.34,"122,425","122,065","241,689","6,046",122191.98,"46,880","47,025","3,856",22,46989.76,"41,000","42,150","5,983,193","10,696,458",42231.91,"4,075","3,965","1,191,086","156,863,243",3962.05
2021-01-29,0.250,0.500,0.972,1.765,0.700,"1,114.60","102,675","102,675","1,784,081","32,653",102675.81,"58,120","58,120","94,154","11,785",58152.55,"99,440","99,440","52,703",0,99420.98,"122,890","122,435","242,421","21,574",122464.46,"46,910","46,880","3,844",31,46872.39,"42,555","41,125","5,837,694","13,333,276",41144.32,"3,925","4,070","1,217,744","182,940,584",4071.49
2021-01-28,0.250,0.500,0.977,1.765,0.700,"1,104.00","102,670","102,655","1,764,845","22,703",102670.65,"58,100","58,105","94,130","1,346",58124.35,"99,470","99,470","52,719",0,99455.52,"122,380","122,380","242,312","3,604",122423.25,"46,865","46,865","3,843",0,46875.07,"42,155","42,070","5,971,837","10,835,668",42232.24,"3,990","3,970","1,165,592","139,533,597",3979.54
2021-01-27,0.250,0.500,0.987,1.762,0.700,"1,103.00","102,665","102,665","1,769,637","10,693",102665.96,"58,065","58,100","94,122","21,177",58105.81,"99,485","99,485","52,727",0,99474.23,"122,395","122,375","241,079","5,148",122438.38,"46,875","46,865","3,843",26,46845.38,"43,370","42,910","5,923,726","8,780,005",42962.68,"3,860","3,895","1,113,191","108,672,409",3898.05
2021-01-26,0.250,0.500,1.002,1.767,0.690,"1,103.20","102,665","102,665","1,769,842","23,190",102663.16,"58,095","58,080","94,090","3,127",58085.14,"99,520","99,520","52,746",0,99518.34,"122,500","122,395","241,118","35,406",122350.61,"46,915","46,915","3,847",0,46874.42,"44,160","43,055","5,980,340","10,607,621",43320.44,"3,785","3,880","1,101,532","92,912,193",3880.45
2021-01-25,0.250,0.500,1.005,1.777,0.690,"1,102.30","102,675","102,665","1,772,409","13,999",102661.86,"58,110","58,095","94,114","18,816",58077.96,"99,515","99,515","52,743",0,99544.36,"122,460","122,295","239,698","27,907",122229.78,"46,925","46,925","3,848",0,46943.61,"43,405","44,260","5,899,858","6,385,034",44381.63,"3,850","3,770","1,074,827","62,326,188",3779.08
